Unnamed: 0,title,votes,date,word,lemmas
1.0,Forslag om at afskaffe uddannelsesloftet!,54191,2018-01-26,forslag,forslag
1.1,Forslag om at afskaffe uddannelsesloftet!,54191,2018-01-26,afskaffe,afskaffe
1.2,Forslag om at afskaffe uddannelsesloftet!,54191,2018-01-26,uddannelsesloftet,uddannelseslofte
2.0,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,statsborgerskab,statsborgerskab
2.1,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,unge,ung
2.2,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,mennesker,menneske
2.3,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,født,føde
2.4,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,opvokset,opvokset
2.5,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,danmark,danmark
2.6,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,indfødsret,indfødsrette
2.7,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,ved,vide
2.8,"Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,erklæringsafgivelse,erklæringsafgivelse
3.0,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,politisk,politisk
3.1,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,forslag,forslag
3.2,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,til,til
3.3,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,høring,høring
3.4,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,i,i
3.5,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,folketinget,folketing
3.6,POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,597,2018-01-30,om,om
