"","title","votes","date","word"
"1","Forslag om at afskaffe uddannelsesloftet!",54191,2018-01-26,"forslag"
"1.1","Forslag om at afskaffe uddannelsesloftet!",54191,2018-01-26,"afskaffe"
"1.2","Forslag om at afskaffe uddannelsesloftet!",54191,2018-01-26,"uddannelsesloftet"
"2","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"statsborgerskab"
"2.1","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"unge"
"2.2","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"mennesker"
"2.3","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"født"
"2.4","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"opvokset"
"2.5","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"danmark"
"2.6","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"indfødsret"
"2.7","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"ved"
"2.8","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",6263,2018-01-30,"erklæringsafgivelse"
"3","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"politisk"
"3.1","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"forslag"
"3.2","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"til"
"3.3","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"høring"
"3.4","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"i"
"3.5","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"folketinget"
"3.6","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"om"
"3.7","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"ændringer"
"3.8","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"af"
"3.9","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"anbragte"
"3.10","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"børn"
"3.11","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"og"
"3.12","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"plejefamiliers"
"3.13","POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.",597,2018-01-30,"rettigheder"
"4","Automatisk førtidspension til personer der har været udsat for seksualt overgreb og/el. systematisk vold/tortur igennem opvækst",66,2018-01-30,"automatisk"
